site_id,statistic_yyy,people_total,area,population_density
澎湖縣七美鄉,106,3856,6.9868,552
基隆市中正區,106,52163,10.2118,5108
基隆市七堵區,106,53972,56.2659,959
基隆市暖暖區,106,38708,22.8283,1696
基隆市仁愛區,106,44314,4.2335,10467
基隆市中山區,106,47908,10.5238,4552
基隆市安樂區,106,82358,18.025,4569
基隆市信義區,106,52035,10.6706,4876
新竹市東區,106,212553,33.5768,6330
新竹市北區,106,150636,15.7267,9578
新竹市香山區,106,77943,54.8491,1421
嘉義市東區,106,122103,30.1556,4049
嘉義市西區,106,147295,29.87,4931
金門縣金城鎮,106,43285,21.713,1994
金門縣金湖鎮,106,29413,41.696,705
金門縣金沙鎮,106,20535,41.19,499
金門縣金寧鄉,106,30838,29.854,1033
金門縣烈嶼鄉,106,12700,16.003,794
金門縣烏坵鄉,106,685,1.2,571
連江縣南竿鄉,106,7544,10.4,725
連江縣北竿鄉,106,2360,9.9,238
連江縣莒光鄉,106,1624,4.7,346
連江縣東引鄉,106,1352,3.8,356
